hierarchyId	pCFID	name	verb	object	filePath
8.7.4.4	20892	Plan IT infrastructure change	Plan	IT Infrastructure Change	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.4-DevelopAndManageInfrastructureResourcePlanning/20892-PlanItInfrastructureChange.mdx
8.7.4.5	20893	Plan and budget IT license usage volumes	Plan	And Budget IT License Usage Volumes	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.4-DevelopAndManageInfrastructureResourcePlanning/20893-PlanAndBudgetItLicenseUsageVolumes.mdx
8.7.5	20895	Define service support planning	Define	Service Support Planning	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/index.mdx
8.7.5.1	20896	Understand IT support demand patterns	Understand	IT Support Demand Patterns	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/20896-UnderstandItSupportDemandPatterns.mdx
8.7.5.2	20897	Determine required support resource levels, responsibilities, and capabilities	Determine	Required Support Resource Levels, Responsibilities, And Capabilities	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/20897-DetermineRequiredSupportResourceLevelsResponsibilitiesAndCapabilities.mdx
8.7.5.3	20898	Maintain service support knowledge repository	Maintain	Service Support Knowledge Repository	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/20898-MaintainServiceSupportKnowledgeRepository.mdx
8.7.5.4	20943	Maintain service support learning	Maintain	Service Support Learning	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/20943-MaintainServiceSupportLearning.mdx
8.7.5.5	20899	Communicate service support needs	Communicate	Service Support Needs	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/20899-CommunicateServiceSupportNeeds.mdx
8.7.5.6	20900	Define IT escalation mechanisms	Define	IT Escalation Mechanisms	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/20900-DefineItEscalationMechanisms.mdx
8.7.5.7	20901	Manage IT service support resources	Manage	IT Service Support Resources	08-ManageInformationTechnologyIt/8.7-CreateAndManageSupportServicesSolutions/8.7.5-DefineServiceSupportPlanning/20901-ManageItServiceSupportResources.mdx
