hierarchyId	pCFID	name	verb	object	filePath
9.8.3.2	11643	Manage activities of audit and compliance function program	Manage	Activities Of Audit And Compliance Function Program	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.3-ManageAndMonitorComplianceFunction/11643-ManageActivitiesOfAuditAndComplianceFunctionProgram.mdx
9.8.3.3	11644	Manage organizational model and reporting relationships for compliance function	Manage	Organizational Model And Reporting Relationships For Compliance Function	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.3-ManageAndMonitorComplianceFunction/11644-ManageOrganizationalModelAndReportingRelationshipsForComplianceFunction.mdx
9.8.3.4	11645	Manage key capabilities of compliance function	Manage	Key Capabilities Of Compliance Function	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.3-ManageAndMonitorComplianceFunction/11645-ManageKeyCapabilitiesOfComplianceFunction.mdx
9.8.4	10764	Report on internal controls compliance	Report	On Internal Controls Compliance	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.4-ReportOnInternalControlsCompliance/index.mdx
9.8.4.1	10923	Report to external auditors	Report	To External Auditors	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.4-ReportOnInternalControlsCompliance/10923-ReportToExternalAuditors.mdx
9.8.4.2	10924	Report to regulators, share-/debt-holders, securities exchanges, etc.	Report	To Regulators, Share-/debt-holders, Securities Exchanges, Etc.	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.4-ReportOnInternalControlsCompliance/10924-ReportToRegulatorsShareDebtHoldersSecuritiesExchangesEtc.mdx
9.8.4.3	10925	Report to third parties	Report	To Third Parties	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.4-ReportOnInternalControlsCompliance/10925-ReportToThirdParties.mdx
9.8.4.4	10926	Report to internal management	Report	To Internal Management	09-ManageFinancialResources/9.8-ManageInternalControls/9.8.4-ReportOnInternalControlsCompliance/10926-ReportToInternalManagement.mdx
9.9	10736	Manage taxes	Manage	Taxes	09-ManageFinancialResources/9.9-ManageTaxes/index.mdx
9.9.1	10765	Develop tax strategy and plan	Develop	Tax Strategy And Plan	09-ManageFinancialResources/9.9-ManageTaxes/9.9.1-DevelopTaxStrategyAndPlan/index.mdx
9.9.1.1	10927	Develop foreign, national, state, and local tax strategy	Develop	Foreign, National, State, And Local Tax Strategy	09-ManageFinancialResources/9.9-ManageTaxes/9.9.1-DevelopTaxStrategyAndPlan/10927-DevelopForeignNationalStateAndLocalTaxStrategy.mdx
9.9.1.2	10928	Consolidate and optimize total tax plan	Consolidate	And Optimize Total Tax Plan	09-ManageFinancialResources/9.9-ManageTaxes/9.9.1-DevelopTaxStrategyAndPlan/10928-ConsolidateAndOptimizeTotalTaxPlan.mdx
9.9.1.3	10929	Maintain tax master data	Maintain	Tax Master Data	09-ManageFinancialResources/9.9-ManageTaxes/9.9.1-DevelopTaxStrategyAndPlan/10929-MaintainTaxMasterData.mdx
9.9.2	10766	Process taxes	Process	Taxes	09-ManageFinancialResources/9.9-ManageTaxes/9.9.2-ProcessTaxes/index.mdx
9.9.2.1	10930	Perform tax planning/strategy	Perform	Tax Planning/strategy	09-ManageFinancialResources/9.9-ManageTaxes/9.9.2-ProcessTaxes/10930-PerformTaxPlanningStrategy.mdx
9.9.2.2	10931	Prepare tax returns	Prepare	Tax Returns	09-ManageFinancialResources/9.9-ManageTaxes/9.9.2-ProcessTaxes/10931-PrepareTaxReturns.mdx
9.9.2.3	10932	Prepare foreign taxes	Prepare	Foreign Taxes	09-ManageFinancialResources/9.9-ManageTaxes/9.9.2-ProcessTaxes/10932-PrepareForeignTaxes.mdx
9.9.2.4	10933	Calculate deferred taxes	Calculate	Deferred Taxes	09-ManageFinancialResources/9.9-ManageTaxes/9.9.2-ProcessTaxes/10933-CalculateDeferredTaxes.mdx
9.9.2.5	10934	Account for taxes	Account	For Taxes	09-ManageFinancialResources/9.9-ManageTaxes/9.9.2-ProcessTaxes/10934-AccountForTaxes.mdx
