hierarchyId	pCFID	name	verb	object	filePath
9.5.2.5	10862	Process and distribute payments	Process	And Distribute Payments	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.2-ManagePay/10862-ProcessAndDistributePayments.mdx
9.5.2.6	10863	Process and distribute manual checks	Process	And Distribute Manual Checks	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.2-ManagePay/10863-ProcessAndDistributeManualChecks.mdx
9.5.2.7	10864	Process period-end adjustments	Process	Period-end Adjustments	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.2-ManagePay/10864-ProcessPeriodEndAdjustments.mdx
9.5.2.8	10865	Respond to employee payroll inquiries	Respond	To Employee Payroll Inquiries	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.2-ManagePay/10865-RespondToEmployeePayrollInquiries.mdx
9.5.3	10755	Manage and process payroll taxes	Manage	And Process Payroll Taxes	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.3-ManageAndProcessPayrollTaxes/index.mdx
9.5.3.1	14075	Develop tax plan	Develop	Tax Plan	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.3-ManageAndProcessPayrollTaxes/14075-DevelopTaxPlan.mdx
9.5.3.2	14076	Manage tax plan	Manage	Tax Plan	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.3-ManageAndProcessPayrollTaxes/14076-ManageTaxPlan.mdx
9.5.3.3	10866	Calculate and pay applicable payroll taxes	Calculate	And Pay Applicable Payroll Taxes	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.3-ManageAndProcessPayrollTaxes/10866-CalculateAndPayApplicablePayrollTaxes.mdx
9.5.3.4	10867	Produce and distribute employee annual tax statements	Produce	And Distribute Employee Annual Tax Statements	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.3-ManageAndProcessPayrollTaxes/10867-ProduceAndDistributeEmployeeAnnualTaxStatements.mdx
9.5.3.5	10868	File regulatory payroll tax forms	File	Regulatory Payroll Tax Forms	09-ManageFinancialResources/9.5-ProcessPayroll/9.5.3-ManageAndProcessPayrollTaxes/10868-FileRegulatoryPayrollTaxForms.mdx
9.6	10733	Process accounts payable and expense reimbursements	Process	Accounts Payable And Expense Reimbursements	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/index.mdx
9.6.1	10756	Process accounts payable (AP)	Process	Accounts Payable (AP)	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/index.mdx
9.6.1.1	10869	Verify AP pay file with purchase order vendor master file	Verify	AP Pay File With Purchase Order Vendor Master File	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10869-VerifyApPayFileWithPurchaseOrderVendorMasterFile.mdx
9.6.1.2	10870	Maintain/Manage electronic commerce	Maintain/Manage	Electronic Commerce	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10870-MaintainManageElectronicCommerce.mdx
9.6.1.3	10871	Audit invoices and key data in AP system	Audit	Invoices And Key Data In AP System	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10871-AuditInvoicesAndKeyDataInApSystem.mdx
9.6.1.4	10872	Approve payments	Approve	Payments	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10872-ApprovePayments.mdx
9.6.1.5	10873	Process financial accruals and reversals	Process	Financial Accruals And Reversals	09-ManageFinancialResources/9.6-ProcessAccountsPayableAndExpenseReimbursements/9.6.1-ProcessAccountsPayableAp/10873-ProcessFinancialAccrualsAndReversals.mdx
